"id","text"
"_LANGUAGE","Française"
"_CHARSET","UTF-8"
"sunday","Dimanche"
"monday","Lundi"
"tuesday","Mardi"
"wednesday","Mercredi"
"thursday","Jeudi"
"friday","Vendredi"
"saturday","Samedi"
"january","Janvier"
"february","Février"
"march","Mars"
"april","Avril"
"may","Mai"
"june","Juin"
"july","Juillet"
"august","Augusto"
"september","Septembre"
"october","Octobre"
"november","Novembre"
"december","Décembre"
"posted","Publié"
"comments","Commentaires"
"print","Imprimer"
"modify","Modifier"
"please register the administrator","S'il vous plaît inscrire l'administrateur du site"
"language","Langue"
"back","Retour"
"next","Suivant"
"cancel","Annuler"
"register","Inscrivez-vous"
"username","Nom d'utilisateur"
"password","Mot de passe"
"email","E-mail"
"save","Enregistrer"
"view","Voir"
"delete","Supprimer"
"edit mode off","Quitter le mode édition"
"edit mode on","Connectez-vous en mode édition"
"control center","Panneau de configuration"
"is read-only","est en lecture seule"
"the data were successfully inserted","les données ont été entrées correctement"
"the data were successfully updated","les données ont été correctement mis à jour"
"page","page"
"fields","champs"
"new","nouvelles"
"search","de recherche"
"are you sure you want to do it?","Etes-vous sûr que vous voulez faire?"
"click to zoom in","Cliquez pour agrandir"
"operation not allowed","Opération n'est pas autorisée"
"configure","Configurer"
"permissions error","Erreur permis"
"login","Connectez-vous"
"authentication failure","Erreur d'authentification"
"logout","Exit"
"hidden","Invisible"
"move up","Déplacer vers le haut"
"move down","Déplacer vers le bas"
"move left","Déplacer à gauche"
"move right","Déplacer vers la droite"
